;(’3‘;8’2;Iaylaps;Iebulin.oﬁcia|;Ifformigari;Iidiamamede;_andressa42_;_danielamara|;_im|ets;_onedaydc;a;abeatrisz;abr_matheus;adacaﬂne;afonsofonbraga;alan.ﬁs10;albmatsuda;alexander.lmx;alvesssj;amandalucasp;amendoiza;anabaccarin_61;and_rurik;andreprta;andrezabona;antonioxalves;arthurbeggs;arthurnonaka;avelariago;ayalla.e;babimi|e_;barbarabrisa;baruscoph;beatrizuchoa;bingotestee;blood_pressures;brando_wi|han;briatez;brunoriether;caioamoreira;camila_cardoso;camilamakiuchi;camillecba;carol_zebra;caroli.b;carvalho_marcos_;clarifranca;crlsncc;darahduarte;de_akrish;debrisdebra;delicias_da_dri31;dfsbora;drageovannacecchin;eliuzaeduarda;emilly.ﬂ;emily,souza,r;ericvcastro123;fabiofernandesO7_;fabiofully;fabiowakai;felipedalosto;felipehiroshi92;fellipepradella;gaabrielaleal;gabi_herrera10;gabicsampaio;gabugabe;gcdelgadO;gdsdourado;geovannacecchin;gildorsj;glaucio_teixeira;glehnunes;gleidsonf_;glhrmbrz;gu.lg|;guiilhermecastro;gvanerven;hairlelemos1;hericles.ferraz;heyaragao;heyjemjem;hidethebeans;hina_amara|;isadelavechia;j_robert001;jjooohr;jonatasmedeirosjunior;jonatassaguiar;jucaramedeirodeoliveira;juliafeliceb;juliagrdo;junior_a|ve209;kaccnny;kassiasayonaraamorim;kassyah20;kenn_lui;leoofrc;leorodarte;leticiaploeg;lorenagarciac;luanderms;lucascasabreu;luciosidney;lukasbezerra;lunzito;m;m_calci;maisa_rcampos;maisumaisadora;marcusteacher;marinapl28;mariﬁdelisa;matheus_santanaara;mathlewho;mathpads;mayra_726;mmakiuchL;mnetoguerra;moisesgabriel;moremaric;murilo_simio;mykael,amara|;naiamy;naiaramarttins;nataliaob;natspictureabout;nefelibata_lais;nina_diniz;pablomarcanth;paulalem0527;pedrohasantiago;perimartins;petit_ervi|ha;phfaber;professorasandrajang;profheltonsereno;rafael,corsini;rafaela_okamoto;raphabraccialli;raquelpisilva;ravenful;rayssinhasoares;rebecahss;reis.b;renataros_;ribeiro_gi|mar;rodrigovsklima;rodsousa9;rogerghira;ronaldocda;roronoaa;ruﬁno.png;saarahcastro;salescaroL;samuelss15;sectorsul;sletlima;souzabsr;taguvo;tallytasorgatto;taomyeon;tatah_winchester;taynara,freitas_;thabatareginaa;thamyreseshebellydance;tharikalves;thatscaiovitor;thirdworlddiva;tim21 Ila;tulioapo;ulrichkofﬁ_ouffoue;valeskab;vitoriahadassaa;vitusimoes;vrafhaell;wemykarla;wtftiago;xiicara;yannemesquita;yurirocha_15;|emosju|iana_;|eticia.madeira1;|iine_avi|a;|ivia.gcf;|ucas_mezza;|ucasmartinsgsZ3;|uci_aguiarc;|uis,amara|h;ﬁllipemanhaes;ﬂ)
fabiowakai;0.0;8.33;33.33;16.67;25.0;25.0;25.0;0.0;25.0;8.33;16.67;8.33;16.67;8.33;41.67;33.33;0.0;8.33;41.67;8.33;8.33;25.0;8.33;41.67;33.33;41.67;25.0;8.33;33.33;8.33;58.33;25.0;0.0;16.67;16.67;33.33;0.0;16.67;8.33;25.0;8.33;8.33;25.0;25.0;8.33;8.33;16.67;16.67;41.67;8.33;0.0;8.33;16.67;8.33;8.33;33.33;8.33;16.67;33.33;16.67;;25.0;16.67;16.67;16.67;16.67;0.0;25.0;16.67;8.33;16.67;16.67;58.33;8.33;16.67;33.33;25.0;8.33;16.67;0.0;25.0;25.0;41.67;25.0;8.33;8.33;8.33;25.0;8.33;16.67;16.67;25.0;33.33;16.67;16.67;41.67;16.67;16.67;8.33;25.0;33.33;25.0;16.67;8.33;0.0;8.33;25.0;25.0;8.33;8.33;0.0;25.0;41.67;16.67;16.67;25.0;33.33;8.33;16.67;33.33;8.33;16.67;8.33;33.33;8.33;33.33;16.67;0.0;25.0;25.0;0.0;25.0;16.67;25.0;16.67;8.33;16.67;8.33;33.33;33.33;41.67;16.67;16.67;8.33;41.67;16.67;0.0;8.33;25.0;0.0;16.67;16.67;8.33;0.0;25.0;33.33;41.67;16.67;8.33;25.0;25.0;8.33;25.0;25.0;16.67;8.33;16.67;25.0;8.33;0.0;16.67;0.0;33.33;33.33;0.0;16.67;16.67;25.0;33.33;0.0;8.33;16.67;50.0;8.33;8.33;33.33;8.33;8.33;33.33;25.0;41.67;
felipedalosto;25.0;25.0;25.0;8.33;8.33;16.67;8.33;16.67;33.33;50.0;25.0;16.67;25.0;41.67;25.0;8.33;33.33;41.67;25.0;33.33;33.33;16.67;33.33;25.0;8.33;33.33;33.33;41.67;25.0;41.67;41.67;33.33;25.0;50.0;8.33;33.33;16.67;25.0;25.0;41.67;16.67;41.67;33.33;16.67;33.33;16.67;41.67;25.0;25.0;25.0;33.33;33.33;50.0;33.33;41.67;33.33;25.0;33.33;41.67;33.33;25.0;;25.0;25.0;41.67;25.0;25.0;41.67;58.33;25.0;33.33;16.67;25.0;8.33;25.0;25.0;41.67;16.67;41.67;33.33;41.67;33.33;41.67;25.0;8.33;50.0;8.33;25.0;33.33;25.0;41.67;25.0;16.67;25.0;16.67;16.67;33.33;8.33;25.0;25.0;58.33;33.33;58.33;25.0;8.33;25.0;16.67;33.33;25.0;25.0;33.33;41.67;25.0;25.0;33.33;25.0;8.33;33.33;33.33;16.67;8.33;16.67;33.33;16.67;8.33;41.67;50.0;25.0;16.67;33.33;50.0;33.33;8.33;25.0;33.33;33.33;41.67;41.67;25.0;33.33;25.0;16.67;25.0;16.67;50.0;25.0;25.0;25.0;33.33;16.67;8.33;25.0;33.33;41.67;16.67;16.67;33.33;25.0;33.33;33.33;50.0;25.0;16.67;33.33;33.33;25.0;25.0;41.67;41.67;33.33;8.33;33.33;41.67;33.33;25.0;33.33;25.0;16.67;16.67;25.0;16.67;41.67;41.67;16.67;50.0;41.67;33.33;41.67;33.33;16.67;16.67;
felipehiroshi92;25.0;0.0;8.33;16.67;16.67;16.67;16.67;25.0;16.67;25.0;0.0;25.0;8.33;33.33;25.0;16.67;25.0;16.67;8.33;8.33;8.33;25.0;25.0;25.0;33.33;8.33;8.33;8.33;16.67;16.67;25.0;41.67;25.0;33.33;16.67;16.67;16.67;16.67;33.33;16.67;25.0;16.67;25.0;25.0;25.0;8.33;16.67;16.67;16.67;16.67;33.33;33.33;25.0;8.33;41.67;16.67;33.33;25.0;8.33;25.0;16.67;25.0;;16.67;50.0;25.0;33.33;8.33;25.0;0.0;8.33;8.33;25.0;33.33;8.33;25.0;33.33;25.0;0.0;25.0;25.0;8.33;25.0;8.33;41.67;25.0;33.33;0.0;8.33;8.33;58.33;16.67;25.0;25.0;16.67;41.67;33.33;16.67;33.33;25.0;25.0;8.33;33.33;0.0;25.0;41.67;41.67;41.67;33.33;0.0;16.67;16.67;25.0;16.67;33.33;8.33;16.67;16.67;33.33;0.0;25.0;41.67;41.67;33.33;33.33;8.33;41.67;16.67;33.33;25.0;16.67;33.33;33.33;16.67;41.67;33.33;16.67;16.67;16.67;25.0;16.67;0.0;50.0;41.67;8.33;41.67;33.33;8.33;8.33;16.67;25.0;16.67;16.67;8.33;25.0;8.33;0.0;25.0;33.33;33.33;33.33;33.33;0.0;8.33;16.67;50.0;25.0;33.33;41.67;8.33;16.67;33.33;25.0;16.67;16.67;41.67;8.33;16.67;25.0;33.33;16.67;25.0;16.67;25.0;33.33;16.67;8.33;25.0;33.33;16.67;8.33;
fellipepradella;41.67;8.33;25.0;16.67;16.67;8.33;8.33;8.33;8.33;33.33;25.0;8.33;16.67;33.33;8.33;25.0;33.33;50.0;58.33;16.67;0.0;0.0;33.33;33.33;16.67;41.67;16.67;8.33;8.33;50.0;16.67;25.0;66.67;41.67;33.33;33.33;25.0;8.33;25.0;33.33;58.33;25.0;33.33;16.67;16.67;16.67;41.67;66.67;25.0;66.67;50.0;0.0;25.0;58.33;16.67;8.33;0.0;41.67;25.0;8.33;16.67;25.0;16.67;;16.67;16.67;41.67;8.33;16.67;33.33;50.0;8.33;25.0;33.33;66.67;8.33;8.33;16.67;8.33;58.33;50.0;8.33;0.0;25.0;16.67;33.33;25.0;8.33;33.33;16.67;41.67;41.67;8.33;33.33;16.67;33.33;50.0;25.0;41.67;8.33;8.33;25.0;8.33;25.0;16.67;8.33;16.67;41.67;25.0;0.0;33.33;16.67;16.67;41.67;8.33;25.0;16.67;33.33;0.0;0.0;25.0;0.0;8.33;16.67;25.0;0.0;16.67;66.67;0.0;50.0;58.33;0.0;16.67;41.67;25.0;33.33;66.67;33.33;0.0;8.33;8.33;33.33;33.33;50.0;16.67;50.0;16.67;8.33;41.67;16.67;8.33;0.0;8.33;16.67;8.33;25.0;8.33;41.67;0.0;25.0;33.33;16.67;25.0;8.33;8.33;33.33;41.67;16.67;41.67;66.67;25.0;33.33;0.0;0.0;16.67;33.33;50.0;41.67;8.33;25.0;8.33;25.0;8.33;25.0;0.0;8.33;16.67;50.0;33.33;25.0;8.33;
gaabrielaleal;33.33;8.33;0.0;25.0;25.0;16.67;8.33;25.0;16.67;58.33;8.33;16.67;8.33;41.67;16.67;0.0;33.33;33.33;16.67;25.0;8.33;25.0;8.33;25.0;8.33;50.0;8.33;8.33;16.67;16.67;8.33;25.0;41.67;33.33;0.0;25.0;41.67;16.67;25.0;8.33;33.33;16.67;33.33;8.33;25.0;8.33;16.67;16.67;8.33;16.67;41.67;41.67;33.33;16.67;33.33;33.33;33.33;33.33;25.0;33.33;16.67;41.67;50.0;16.67;;16.67;41.67;41.67;33.33;0.0;25.0;16.67;25.0;8.33;16.67;16.67;25.0;16.67;25.0;33.33;33.33;16.67;58.33;41.67;25.0;41.67;0.0;16.67;16.67;25.0;41.67;25.0;16.67;16.67;33.33;8.33;33.33;25.0;33.33;25.0;41.67;41.67;41.67;25.0;16.67;16.67;16.67;33.33;16.67;0.0;41.67;16.67;33.33;16.67;16.67;16.67;8.33;25.0;41.67;8.33;33.33;16.67;33.33;8.33;25.0;16.67;25.0;33.33;25.0;33.33;25.0;33.33;8.33;8.33;41.67;25.0;25.0;33.33;16.67;41.67;8.33;0.0;33.33;25.0;16.67;33.33;25.0;8.33;16.67;25.0;16.67;0.0;16.67;25.0;33.33;25.0;25.0;25.0;41.67;25.0;41.67;33.33;8.33;25.0;25.0;25.0;33.33;66.67;25.0;16.67;16.67;50.0;33.33;16.67;41.67;25.0;16.67;16.67;25.0;33.33;0.0;50.0;50.0;41.67;41.67;16.67;25.0;33.33;8.33;25.0;0.0;
gabi_herrera10;8.33;8.33;33.33;16.67;16.67;25.0;16.67;33.33;25.0;25.0;0.0;25.0;25.0;8.33;8.33;16.67;8.33;8.33;0.0;16.67;33.33;16.67;25.0;16.67;25.0;25.0;33.33;25.0;8.33;8.33;41.67;66.67;8.33;0.0;33.33;8.33;16.67;16.67;25.0;58.33;16.67;25.0;41.67;8.33;33.33;33.33;8.33;8.33;0.0;16.67;16.67;25.0;33.33;8.33;33.33;8.33;25.0;41.67;41.67;33.33;16.67;25.0;25.0;16.67;16.67;;16.67;25.0;25.0;16.67;16.67;8.33;16.67;50.0;8.33;16.67;16.67;41.67;25.0;16.67;16.67;41.67;8.33;16.67;33.33;25.0;25.0;33.33;41.67;16.67;16.67;16.67;8.33;33.33;0.0;8.33;16.67;8.33;16.67;8.33;8.33;25.0;25.0;8.33;16.67;33.33;25.0;50.0;41.67;50.0;25.0;41.67;41.67;0.0;25.0;0.0;8.33;33.33;0.0;16.67;16.67;25.0;33.33;25.0;33.33;8.33;8.33;33.33;33.33;8.33;16.67;8.33;33.33;16.67;8.33;16.67;16.67;8.33;16.67;8.33;8.33;8.33;33.33;41.67;50.0;16.67;33.33;8.33;25.0;16.67;16.67;16.67;50.0;41.67;0.0;0.0;33.33;8.33;8.33;41.67;8.33;16.67;16.67;16.67;8.33;8.33;25.0;25.0;25.0;16.67;16.67;8.33;41.67;50.0;41.67;41.67;8.33;8.33;16.67;33.33;25.0;8.33;25.0;8.33;50.0;16.67;25.0;16.67;33.33;16.67;16.67;
gabicsampaio;91.67;8.33;8.33;25.0;16.67;16.67;25.0;33.33;0.0;41.67;25.0;8.33;16.67;50.0;0.0;16.67;50.0;41.67;41.67;33.33;8.33;25.0;33.33;0.0;16.67;25.0;0.0;16.67;25.0;66.67;0.0;16.67;58.33;58.33;8.33;25.0;33.33;16.67;33.33;25.0;58.33;25.0;16.67;16.67;16.67;16.67;66.67;50.0;33.33;50.0;66.67;25.0;33.33;50.0;41.67;33.33;8.33;33.33;25.0;16.67;0.0;25.0;33.33;41.67;41.67;16.67;;16.67;41.67;16.67;33.33;16.67;0.0;8.33;58.33;8.33;16.67;8.33;16.67;66.67;66.67;8.33;25.0;25.0;41.67;41.67;33.33;16.67;8.33;16.67;50.0;41.67;8.33;41.67;16.67;33.33;41.67;33.33;66.67;0.0;25.0;25.0;16.67;16.67;16.67;33.33;0.0;33.33;33.33;8.33;33.33;8.33;16.67;66.67;33.33;33.33;25.0;16.67;25.0;0.0;50.0;8.33;25.0;8.33;25.0;8.33;41.67;58.33;0.0;58.33;50.0;16.67;25.0;50.0;50.0;41.67;50.0;25.0;8.33;16.67;16.67;16.67;8.33;66.67;0.0;58.33;25.0;16.67;50.0;16.67;16.67;8.33;25.0;8.33;25.0;16.67;8.33;66.67;16.67;25.0;33.33;33.33;8.33;16.67;8.33;33.33;66.67;16.67;33.33;50.0;33.33;41.67;8.33;8.33;41.67;16.67;41.67;33.33;8.33;58.33;16.67;16.67;33.33;50.0;25.0;8.33;41.67;58.33;16.67;25.0;8.33;
gabugabe;25.0;41.67;33.33;8.33;33.33;0.0;33.33;16.67;33.33;16.67;41.67;16.67;25.0;25.0;25.0;0.0;25.0;8.33;8.33;58.33;58.33;41.67;41.67;16.67;25.0;33.33;16.67;58.33;8.33;33.33;16.67;16.67;8.33;16.67;8.33;8.33;33.33;16.67;25.0;16.67;8.33;33.33;25.0;8.33;33.33;8.33;33.33;16.67;16.67;8.33;25.0;33.33;41.67;33.33;33.33;16.67;41.67;16.67;16.67;58.33;25.0;41.67;8.33;8.33;41.67;25.0;16.67;;41.67;33.33;8.33;41.67;16.67;0.0;8.33;33.33;25.0;8.33;75.0;33.33;16.67;25.0;33.33;16.67;16.67;25.0;16.67;66.67;33.33;41.67;8.33;16.67;16.67;8.33;0.0;0.0;25.0;8.33;25.0;8.33;25.0;25.0;16.67;8.33;8.33;25.0;16.67;25.0;25.0;50.0;8.33;16.67;8.33;8.33;0.0;16.67;25.0;8.33;25.0;25.0;8.33;0.0;16.67;8.33;8.33;25.0;33.33;16.67;16.67;25.0;25.0;41.67;8.33;16.67;16.67;25.0;16.67;16.67;66.67;25.0;8.33;0.0;0.0;25.0;16.67;16.67;0.0;41.67;41.67;8.33;33.33;41.67;16.67;25.0;25.0;8.33;33.33;8.33;25.0;16.67;8.33;0.0;0.0;75.0;8.33;16.67;25.0;41.67;8.33;8.33;8.33;16.67;25.0;41.67;33.33;0.0;25.0;25.0;16.67;33.33;33.33;25.0;33.33;8.33;41.67;16.67;8.33;25.0;25.0;33.33;16.67;
gcdelgadO;33.33;25.0;16.67;8.33;25.0;25.0;16.67;25.0;33.33;41.67;25.0;16.67;16.67;41.67;16.67;0.0;33.33;16.67;25.0;41.67;41.67;25.0;33.33;16.67;16.67;33.33;25.0;58.33;16.67;41.67;25.0;25.0;16.67;33.33;16.67;25.0;33.33;33.33;25.0;25.0;25.0;25.0;16.67;0.0;41.67;8.33;50.0;16.67;25.0;16.67;41.67;25.0;41.67;33.33;50.0;33.33;16.67;16.67;25.0;41.67;16.67;58.33;25.0;16.67;33.33;25.0;41.67;41.67;;16.67;25.0;25.0;16.67;8.33;16.67;33.33;16.67;16.67;41.67;50.0;50.0;25.0;16.67;8.33;33.33;41.67;16.67;25.0;33.33;33.33;33.33;25.0;8.33;8.33;0.0;8.33;50.0;8.33;25.0;16.67;41.67;25.0;25.0;8.33;8.33;41.67;8.33;25.0;33.33;33.33;16.67;8.33;33.33;16.67;41.67;16.67;8.33;25.0;25.0;25.0;16.67;0.0;41.67;16.67;16.67;41.67;41.67;25.0;0.0;33.33;33.33;41.67;8.33;33.33;41.67;33.33;25.0;33.33;33.33;25.0;16.67;0.0;16.67;33.33;16.67;41.67;16.67;25.0;33.33;16.67;8.33;25.0;33.33;33.33;8.33;8.33;8.33;50.0;16.67;50.0;25.0;33.33;8.33;41.67;25.0;25.0;33.33;33.33;16.67;16.67;16.67;33.33;8.33;33.33;33.33;16.67;33.33;25.0;8.33;41.67;25.0;16.67;50.0;16.67;50.0;25.0;25.0;33.33;16.67;41.67;16.67;
gdsdourado;25.0;33.33;41.67;8.33;16.67;16.67;33.33;16.67;16.67;16.67;41.67;8.33;41.67;16.67;25.0;8.33;8.33;33.33;16.67;50.0;33.33;33.33;41.67;16.67;8.33;16.67;16.67;41.67;25.0;25.0;16.67;8.33;25.0;25.0;25.0;16.67;0.0;16.67;16.67;25.0;16.67;41.67;16.67;16.67;16.67;25.0;25.0;25.0;33.33;25.0;16.67;16.67;25.0;25.0;8.33;0.0;16.67;16.67;25.0;41.67;8.33;25.0;0.0;33.33;0.0;16.67;16.67;33.33;16.67;;16.67;16.67;8.33;16.67;25.0;16.67;25.0;16.67;41.67;25.0;33.33;16.67;8.33;8.33;0.0;0.0;8.33;50.0;25.0;16.67;16.67;33.33;8.33;16.67;25.0;8.33;25.0;8.33;33.33;0.0;16.67;25.0;8.33;8.33;25.0;8.33;16.67;16.67;16.67;33.33;16.67;8.33;8.33;16.67;0.0;25.0;33.33;25.0;33.33;16.67;16.67;8.33;8.33;8.33;25.0;16.67;16.67;41.67;8.33;25.0;41.67;33.33;25.0;16.67;8.33;8.33;25.0;16.67;33.33;16.67;16.67;41.67;25.0;25.0;16.67;8.33;33.33;50.0;41.67;16.67;33.33;33.33;0.0;25.0;8.33;8.33;25.0;16.67;8.33;8.33;8.33;25.0;16.67;33.33;16.67;16.67;33.33;16.67;25.0;25.0;16.67;16.67;0.0;16.67;16.67;8.33;25.0;41.67;8.33;16.67;25.0;16.67;8.33;16.67;16.67;8.33;8.33;25.0;33.33;16.67;16.67;
geovannacecchin;33.33;0.0;16.67;16.67;8.33;8.33;16.67;16.67;16.67;41.67;16.67;25.0;16.67;16.67;8.33;58.33;16.67;50.0;58.33;8.33;16.67;0.0;16.67;16.67;16.67;16.67;25.0;8.33;16.67;50.0;16.67;8.33;41.67;41.67;41.67;41.67;25.0;8.33;25.0;41.67;41.67;0.0;41.67;33.33;16.67;16.67;41.67;50.0;25.0;33.33;50.0;16.67;16.67;50.0;16.67;41.67;0.0;25.0;33.33;0.0;16.67;33.33;8.33;50.0;25.0;16.67;33.33;8.33;25.0;16.67;;8.33;16.67;33.33;25.0;16.67;16.67;33.33;8.33;50.0;33.33;16.67;25.0;25.0;16.67;50.0;0.0;0.0;25.0;33.33;33.33;33.33;33.33;25.0;25.0;16.67;25.0;8.33;33.33;25.0;16.67;25.0;25.0;25.0;25.0;33.33;0.0;8.33;16.67;16.67;25.0;33.33;33.33;33.33;33.33;33.33;8.33;25.0;8.33;8.33;16.67;16.67;33.33;8.33;16.67;33.33;16.67;41.67;16.67;25.0;41.67;16.67;8.33;50.0;16.67;33.33;50.0;25.0;0.0;8.33;25.0;33.33;16.67;25.0;33.33;33.33;16.67;8.33;41.67;8.33;25.0;8.33;8.33;16.67;8.33;33.33;8.33;33.33;8.33;16.67;33.33;41.67;33.33;8.33;25.0;41.67;25.0;33.33;25.0;41.67;33.33;33.33;16.67;16.67;41.67;25.0;33.33;25.0;8.33;16.67;8.33;33.33;33.33;25.0;16.67;25.0;16.67;41.67;16.67;16.67;25.0;
gildorsj;25.0;33.33;25.0;25.0;8.33;0.0;33.33;16.67;25.0;16.67;25.0;25.0;16.67;16.67;16.67;16.67;16.67;8.33;8.33;33.33;41.67;41.67;16.67;25.0;16.67;16.67;16.67;41.67;8.33;25.0;16.67;16.67;8.33;8.33;16.67;33.33;41.67;8.33;16.67;8.33;8.33;16.67;16.67;16.67;33.33;16.67;25.0;8.33;25.0;0.0;25.0;33.33;16.67;33.33;41.67;8.33;16.67;0.0;0.0;25.0;16.67;16.67;8.33;8.33;16.67;8.33;16.67;41.67;25.0;16.67;8.33;;33.33;0.0;8.33;25.0;16.67;8.33;41.67;33.33;0.0;16.67;8.33;33.33;8.33;25.0;25.0;33.33;33.33;41.67;0.0;0.0;16.67;8.33;8.33;16.67;8.33;33.33;8.33;16.67;8.33;25.0;8.33;8.33;25.0;33.33;0.0;16.67;25.0;33.33;16.67;8.33;16.67;8.33;0.0;0.0;25.0;16.67;16.67;25.0;0.0;0.0;16.67;25.0;8.33;25.0;41.67;8.33;25.0;8.33;16.67;25.0;16.67;8.33;8.33;16.67;16.67;25.0;58.33;8.33;16.67;8.33;8.33;8.33;0.0;16.67;0.0;33.33;16.67;8.33;8.33;33.33;8.33;33.33;16.67;33.33;0.0;0.0;16.67;8.33;25.0;8.33;8.33;50.0;16.67;8.33;0.0;25.0;0.0;16.67;0.0;25.0;16.67;41.67;33.33;25.0;25.0;8.33;16.67;25.0;33.33;16.67;16.67;0.0;33.33;16.67;8.33;25.0;0.0;50.0;16.67;
glaucio_teixeira;0.0;8.33;25.0;25.0;16.67;33.33;16.67;0.0;25.0;33.33;8.33;25.0;25.0;25.0;33.33;25.0;25.0;33.33;33.33;8.33;16.67;33.33;16.67;66.67;33.33;50.0;33.33;8.33;41.67;8.33;50.0;16.67;8.33;16.67;8.33;58.33;25.0;25.0;16.67;25.0;16.67;25.0;50.0;33.33;33.33;25.0;16.67;8.33;41.67;25.0;8.33;8.33;8.33;25.0;16.67;41.67;25.0;8.33;33.33;33.33;58.33;25.0;25.0;25.0;25.0;16.67;0.0;16.67;16.67;8.33;16.67;33.33;;16.67;16.67;41.67;16.67;33.33;8.33;8.33;25.0;33.33;33.33;50.0;8.33;25.0;16.67;8.33;33.33;41.67;16.67;25.0;33.33;25.0;16.67;41.67;25.0;16.67;8.33;16.67;25.0;41.67;41.67;25.0;25.0;16.67;41.67;16.67;33.33;0.0;33.33;8.33;33.33;25.0;16.67;16.67;16.67;16.67;25.0;25.0;8.33;25.0;25.0;25.0;25.0;33.33;33.33;16.67;8.33;8.33;16.67;33.33;33.33;25.0;33.33;33.33;25.0;41.67;41.67;33.33;33.33;16.67;33.33;16.67;25.0;25.0;16.67;0.0;8.33;8.33;16.67;16.67;0.0;25.0;25.0;41.67;41.67;16.67;25.0;25.0;50.0;25.0;41.67;33.33;41.67;8.33;8.33;25.0;25.0;16.67;8.33;16.67;25.0;33.33;16.67;33.33;25.0;16.67;16.67;8.33;8.33;50.0;33.33;0.0;8.33;66.67;8.33;16.67;50.0;33.33;50.0;
glehnunes;8.33;0.0;8.33;41.67;8.33;16.67;8.33;16.67;25.0;8.33;0.0;41.67;16.67;8.33;16.67;33.33;16.67;16.67;0.0;8.33;25.0;16.67;8.33;25.0;33.33;0.0;16.67;16.67;16.67;8.33;25.0;25.0;33.33;8.33;50.0;0.0;16.67;16.67;16.67;33.33;25.0;8.33;16.67;8.33;25.0;50.0;0.0;25.0;8.33;25.0;0.0;25.0;8.33;8.33;8.33;16.67;25.0;25.0;25.0;16.67;8.33;8.33;33.33;33.33;8.33;50.0;8.33;0.0;8.33;16.67;33.33;0.0;16.67;;8.33;25.0;8.33;25.0;0.0;8.33;0.0;16.67;8.33;8.33;16.67;25.0;41.67;16.67;33.33;16.67;25.0;8.33;25.0;16.67;25.0;25.0;33.33;8.33;16.67;8.33;8.33;8.33;25.0;0.0;33.33;33.33;33.33;16.67;8.33;25.0;8.33;25.0;33.33;8.33;25.0;8.33;8.33;8.33;25.0;8.33;16.67;50.0;50.0;25.0;33.33;16.67;8.33;16.67;25.0;0.0;0.0;33.33;16.67;8.33;25.0;33.33;0.0;8.33;8.33;33.33;16.67;16.67;33.33;25.0;25.0;16.67;41.67;8.33;16.67;50.0;25.0;16.67;25.0;8.33;8.33;8.33;8.33;0.0;25.0;41.67;0.0;33.33;8.33;8.33;33.33;25.0;16.67;8.33;33.33;16.67;8.33;16.67;33.33;25.0;25.0;25.0;8.33;25.0;0.0;8.33;16.67;25.0;8.33;0.0;16.67;16.67;8.33;16.67;16.67;0.0;16.67;
gleidsonf_;58.33;8.33;33.33;25.0;33.33;33.33;16.67;16.67;8.33;41.67;33.33;8.33;33.33;50.0;0.0;8.33;33.33;41.67;58.33;16.67;0.0;8.33;33.33;25.0;8.33;41.67;25.0;8.33;16.67;41.67;16.67;16.67;58.33;58.33;8.33;33.33;16.67;25.0;33.33;25.0;50.0;33.33;25.0;25.0;16.67;25.0;41.67;58.33;33.33;75.0;41.67;0.0;25.0;41.67;16.67;16.67;0.0;41.67;41.67;8.33;16.67;25.0;8.33;66.67;16.67;8.33;58.33;8.33;16.67;25.0;25.0;8.33;16.67;8.33;;8.33;16.67;16.67;8.33;41.67;66.67;8.33;16.67;33.33;25.0;25.0;25.0;8.33;25.0;8.33;33.33;41.67;8.33;58.33;8.33;50.0;25.0;33.33;58.33;8.33;25.0;33.33;16.67;25.0;8.33;0.0;8.33;33.33;25.0;0.0;33.33;16.67;8.33;58.33;8.33;33.33;25.0;25.0;16.67;8.33;41.67;8.33;8.33;8.33;25.0;8.33;16.67;58.33;0.0;66.67;50.0;8.33;25.0;41.67;41.67;25.0;58.33;25.0;0.0;25.0;16.67;41.67;16.67;41.67;25.0;33.33;16.67;8.33;41.67;16.67;16.67;0.0;8.33;8.33;16.67;25.0;25.0;50.0;8.33;16.67;41.67;8.33;25.0;8.33;0.0;25.0;58.33;0.0;41.67;66.67;33.33;25.0;8.33;0.0;16.67;16.67;50.0;25.0;25.0;33.33;8.33;16.67;25.0;33.33;0.0;8.33;33.33;41.67;33.33;16.67;16.67;
glhrmbrz;16.67;33.33;33.33;16.67;25.0;33.33;33.33;16.67;58.33;25.0;33.33;33.33;41.67;16.67;25.0;8.33;25.0;16.67;16.67;25.0;58.33;33.33;25.0;41.67;41.67;25.0;25.0;33.33;25.0;16.67;33.33;8.33;0.0;16.67;25.0;33.33;33.33;25.0;25.0;25.0;8.33;33.33;41.67;25.0;41.67;25.0;25.0;8.33;25.0;8.33;16.67;33.33;8.33;8.33;25.0;41.67;16.67;8.33;16.67;25.0;33.33;25.0;25.0;8.33;16.67;16.67;8.33;33.33;33.33;16.67;16.67;25.0;41.67;25.0;8.33;;33.33;33.33;41.67;16.67;33.33;33.33;25.0;16.67;8.33;8.33;33.33;25.0;33.33;33.33;16.67;33.33;25.0;8.33;8.33;33.33;25.0;25.0;25.0;25.0;41.67;58.33;33.33;0.0;16.67;33.33;25.0;8.33;16.67;33.33;25.0;16.67;33.33;8.33;33.33;16.67;25.0;16.67;58.33;50.0;8.33;33.33;50.0;8.33;25.0;50.0;33.33;0.0;16.67;25.0;8.33;66.67;16.67;8.33;41.67;16.67;0.0;33.33;41.67;33.33;33.33;8.33;16.67;8.33;25.0;25.0;8.33;33.33;16.67;16.67;50.0;33.33;0.0;8.33;16.67;16.67;33.33;25.0;41.67;33.33;33.33;25.0;41.67;41.67;25.0;25.0;16.67;16.67;8.33;0.0;8.33;33.33;8.33;16.67;33.33;8.33;25.0;33.33;25.0;33.33;8.33;25.0;50.0;0.0;25.0;25.0;0.0;0.0;33.33;33.33;50.0;
